[0.0, -1.19, -3.141592653589793],76
[0.0, -1.19, -2.356194490192345],79
[0.0, -1.19, -1.5707963267948966],128
[0.0, -1.19, -0.7853981633974483],77
[0.0, -1.19, 0.0],87
[0.0, -1.19, 0.7853981633974483],93
[0.0, -1.19, 1.5707963267948966],0
[0.0, -1.19, 2.356194490192345],66
[0.0, -0.992, -3.141592653589793],118
[0.0, -0.992, -2.356194490192345],260
[0.0, -0.992, -1.5707963267948966],323
[0.0, -0.992, -0.7853981633974483],248
[0.0, -0.992, 0.0],154
[0.0, -0.992, 0.7853981633974483],78
[0.0, -0.992, 1.5707963267948966],0
[0.0, -0.992, 2.356194490192345],76
[0.0, -0.794, -3.141592653589793],156
[0.0, -0.794, -2.356194490192345],145
[0.0, -0.794, -1.5707963267948966],260
[0.0, -0.794, -0.7853981633974483],584
[0.0, -0.794, 0.0],171
[0.0, -0.794, 0.7853981633974483],82
[0.0, -0.794, 1.5707963267948966],0
[0.0, -0.794, 2.356194490192345],81
[0.0, -0.5960000000000001, -3.141592653589793],83
[0.0, -0.5960000000000001, -2.356194490192345],93
[0.0, -0.5960000000000001, -1.5707963267948966],227
[0.0, -0.5960000000000001, -0.7853981633974483],426
[0.0, -0.5960000000000001, 0.0],772
[0.0, -0.5960000000000001, 0.7853981633974483],77
[0.0, -0.5960000000000001, 1.5707963267948966],0
[0.0, -0.5960000000000001, 2.356194490192345],59
[0.0, -0.39800000000000013, -3.141592653589793],64
[0.0, -0.39800000000000013, -2.356194490192345],65
[0.0, -0.39800000000000013, -1.5707963267948966],134
[0.0, -0.39800000000000013, -0.7853981633974483],483
[0.0, -0.39800000000000013, 0.0],464
[0.0, -0.39800000000000013, 0.7853981633974483],69
[0.0, -0.39800000000000013, 1.5707963267948966],0
[0.0, -0.39800000000000013, 2.356194490192345],78
[0.0, -0.20000000000000018, -3.141592653589793],75
[0.0, -0.20000000000000018, -2.356194490192345],76
[0.0, -0.20000000000000018, -1.5707963267948966],153
[0.0, -0.20000000000000018, -0.7853981633974483],52
[0.0, -0.20000000000000018, 0.0],432
[0.0, -0.20000000000000018, 0.7853981633974483],91
