[None None],-1,[2.00229257 0.02045362 0.0077266 ]
[None None],-1,[2.0085546  0.01871311 0.00686928]
[1.79620187 0.02209326 0.01495762],0,[1.79207195 0.02696485 0.01323269]
[1.79620187 0.02209326 0.01495762],0,[ 1.50357747 -0.05601137 -0.23630306]
[ 1.50295593 -0.05882534 -0.23241022],1,[ 1.38720163 -0.14158072 -0.43455112]
[ 1.14892838 -0.30621505 -0.79885247],1,[ 1.14784149 -0.30783976 -0.80372987]
[ 1.14892838 -0.30621505 -0.79885247],1,[ 1.14773669 -0.30326223 -0.7996063 ]
[ 1.14892838 -0.30621505 -0.79885247],2,[ 0.84434201 -0.37519345 -0.79978561]
[ 0.84647367 -0.37380943 -0.79584145],2,[ 0.60682807 -0.4174164  -0.81954897]
[ 0.60455279 -0.41749073 -0.82110194],2,[ 0.36423402 -0.41331043 -0.90890641]
[ 0.36239366 -0.41203102 -0.91092594],2,[ 0.11644514 -0.36706749 -1.18076819]
[ 0.07307897 -0.34897375 -1.24254099],2,[-0.02328123 -0.30032987 -1.41613792]
[-0.16410061 -0.2343102  -1.87037673],2,[-0.16638152 -0.23812339 -1.87214251]
[-0.16410061 -0.2343102  -1.87037673],2,[-0.16543832 -0.23428627 -1.87539088]
[-0.26538506 -0.17300451 -2.17157913],2,[-0.26629443 -0.1703745  -2.18164689]
