[None None],-1,[ 1.19112487 -0.01519481 -0.00532666]
[ 1.03901714 -0.00720812  0.00785697],0,[ 0.96508221 -0.00596106  0.00752006]
[ 1.03901714 -0.00720812  0.00785697],1,[ 0.69547968 -0.08616659 -0.30415079]
[ 0.62899637 -0.11881804 -0.41382353],1,[ 0.5548515  -0.22441823 -0.87821054]
[ 0.62899637 -0.11881804 -0.41382353],0,[ 1.67272553 -0.34051931 -0.71352557]
[ 1.59111948 -0.35983302 -0.6663098 ],2,[ 1.27109938 -0.40458852 -0.58715777]
[ 1.09046601 -0.42604083 -0.54326244],2,[ 1.09088765 -0.40795965 -0.52899031]
[ 0.84350288 -0.39439446 -0.44268364],2,[ 0.8501941  -0.38144235 -0.42210709]
[ 0.85291508 -0.38193834 -0.42368643],2,[ 0.5549962  -0.30111802 -0.33228714]
[ 0.22906664 -0.15213577 -0.22399729],2,[ 0.2418842  -0.13425798 -0.13047993]
