[None None],-1,[1.24715925 0.00582232 0.01892675]
[1.06174068 0.00310879 0.01659734],0,[1.05965742 0.001425   0.011555  ]
[0.97861513 0.01118796 0.02022193],0,[0.8100216  0.01020571 0.02616021]
[0.97861513 0.01118796 0.02022193],0,[0.68940768 0.05134824 0.17515946]
[0.97861513 0.01118796 0.02022193],2,[0.6865267  0.05015043 0.1783966 ]
[0.50868607 0.14983897 0.59812349],2,[0.50681384 0.15226861 0.59600571]
[1.62141867 0.33170865 0.73716246],2,[1.61753947 0.33314069 0.73326842]
[1.62141867 0.33170865 0.73716246],2,[1.31505565 0.39477155 0.64253137]
[1.05772673 0.4068084  0.50772763],1,[1.06027946 0.39979765 0.50223989]
[1.05906548 0.39598023 0.49824619],1,[0.7732274  0.34314205 0.33505025]
[0.77266057 0.34406646 0.33720969],1,[0.49426998 0.22576733 0.14085054]
[ 0.29675435  0.0814502  -0.20966192],1,[ 0.29896734  0.08079658 -0.21342559]
