[None None],-1,[ 1.18468297 -0.0051491   0.00327638]
[None None],0,[ 0.91951982 -0.00115744  0.01030363]
[ 0.85688714 -0.00447961 -0.03573182],1,[ 0.76471226 -0.05411504 -0.22861963]
[ 0.85688714 -0.00447961 -0.03573182],1,[ 0.53288698 -0.18898641 -0.70329664]
[ 0.536809   -0.19073555 -0.70320067],1,[ 1.74485843 -0.27500465 -0.62246752]
[ 1.73694774 -0.2783587  -0.62061452],2,[ 1.57764167 -0.32041361 -0.57756317]
[ 1.57265785 -0.32240531 -0.57034725],2,[ 1.29814605 -0.34281776 -0.48980012]
[ 1.29347158 -0.34355535 -0.49038617],2,[ 1.03719106 -0.32870409 -0.38154223]
[ 0.96234865 -0.31523264 -0.32112121],2,[ 0.66904614 -0.23456102 -0.1786013 ]
[ 0.37264292 -0.10450141  0.06145543],2,[ 0.371335   -0.10371384  0.06641461]
