[None None],-1,[1.16406971 0.00687768 0.0291531 ]
[0.90584242 0.06921598 0.28269857],2,[0.86455267 0.09565178 0.30082793]
[0.86054837 0.0927802  0.30118438],2,[0.71947593 0.16049174 0.50938852]
[0.4765096  0.24357857 0.75474933],0,[0.47813788 0.24717145 0.75406583]
[0.4765096  0.24357857 0.75474933],2,[1.54113181 0.39745076 0.68379955]
[1.34129461 0.4226243  0.61275073],1,[1.34409551 0.42112666 0.61324544]
[1.34129461 0.4226243  0.61275073],1,[1.13513061 0.42767931 0.52959135]
[0.82377707 0.3981483  0.38692384],1,[0.82034191 0.38867048 0.37420988]
[0.82478113 0.3889053  0.37421737],1,[0.59791982 0.29551282 0.20890547]
[0.46761516 0.20589778 0.03383566],1,[0.46784094 0.20521793 0.02983007]
[0.46761516 0.20589778 0.03383566],1,[ 0.3985342   0.14918485 -0.10315532]
