[None None],-1,[1.1523218  0.01429513 0.00601396]
[0.90268611 0.01796101 0.01497978],0,[0.90945259 0.01821163 0.01287252]
[0.61072839 0.09898453 0.3289249 ],2,[0.62618695 0.09949772 0.3220665 ]
[0.53282241 0.12405866 0.46445478],2,[0.38662332 0.2138739  0.7998117 ]
[1.60751797 0.2664937  0.51891408],2,[1.6083724  0.26568244 0.52514639]
[1.60438964 0.26977603 0.52703754],0,[1.39193835 0.3412125  0.60953717]
[1.39516182 0.34116408 0.60916133],0,[1.20639175 0.41939328 0.72253142]
[1.05757956 0.4434605  0.65793595],1,[1.05695677 0.44434789 0.65675152]
[1.05629177 0.44559885 0.65607325],1,[0.8029201  0.43871198 0.57511752]
[0.65412538 0.39333107 0.45199282],1,[0.65595473 0.39317764 0.44941187]
[0.40527539 0.26025514 0.27900531],1,[0.40511041 0.25897507 0.27952473]
[0.36858909 0.2441745  0.27036889],1,[ 0.24481755  0.10679733 -0.11499242]
