[None None],-1,[1.2036037  0.00418148 0.02760083]
[None None],1,[ 1.02582834 -0.03157526 -0.1169699 ]
[ 1.02590375 -0.03090685 -0.11540576],1,[ 0.91200838 -0.05383778 -0.21703316]
[ 0.91461056 -0.05170303 -0.21043158],1,[ 0.65628036 -0.19381429 -0.64077042]
[ 0.59247745 -0.22030932 -0.71318909],0,[ 0.41588246 -0.29237682 -0.9764755 ]
[ 0.59247745 -0.22030932 -0.71318909],2,[ 1.66016733 -0.31235878 -0.50533958]
[ 1.66508567 -0.31270684 -0.50948914],2,[ 1.38094434 -0.34105007 -0.41375424]
[ 1.38024    -0.33898959 -0.41230634],2,[ 1.11346006 -0.28489071 -0.28420625]
[ 1.11557769 -0.28433032 -0.28638609],2,[ 0.89484009 -0.23452135 -0.13826269]
[ 0.89525555 -0.23796641 -0.13965886],2,[ 0.66261865 -0.14816119  0.03045199]
[ 0.6659406  -0.14483629  0.03846311],0,[ 0.4269324  -0.08106623  0.07285561]
