[None None],-1,[ 1.20989881 -0.05240986  0.01559193]
[ 1.13457293 -0.050732    0.01820082],0,[ 1.01805463 -0.03934366  0.02834743]
[0.84402888 0.03067254 0.26623645],2,[0.84134086 0.03400781 0.26967405]
[0.84402888 0.03067254 0.26623645],2,[0.58295474 0.18017767 0.69571027]
[0.5112477  0.21430177 0.80963407],0,[0.42950952 0.26198998 0.95019821]
[0.43150264 0.26125684 0.94375599],1,[1.44027589 0.30036714 0.39661661]
[1.43816745 0.29979434 0.39250794],0,[1.25266748 0.30922047 0.4309881 ]
[1.25991811 0.31024212 0.43263769],1,[1.02798254 0.28146446 0.25206837]
[1.03057295 0.28270045 0.25296517],1,[0.77185903 0.19343293 0.03766679]
[0.77265818 0.18856772 0.03448648],0,[0.64045857 0.16757436 0.04446306]
[0.3564534  0.11098177 0.09604593],0,[0.35579279 0.11848258 0.11996452]
