[None None],-1,[2.01425335 0.00964667 0.01984478]
[None None],0,[1.83250166 0.0203988  0.04405063]
[None None],0,[1.83130748 0.01960837 0.04091496]
[1.82984046 0.01946689 0.04052418],2,[1.69188686 0.05546318 0.1557197 ]
[1.82984046 0.01946689 0.04052418],2,[1.69993595 0.05642281 0.15776545]
[1.70673185 0.05219262 0.15915316],2,[1.63653003 0.08420888 0.22166127]
[1.62129089 0.08408423 0.22549582],2,[1.45645061 0.19295027 0.50930248]
[1.62129089 0.08408423 0.22549582],2,[1.45026865 0.19134329 0.5053273 ]
[1.62129089 0.08408423 0.22549582],0,[1.38005578 0.22857801 0.54776021]
[1.31650329 0.25277398 0.58545926],0,[1.21055552 0.29109956 0.63213216]
[1.31650329 0.25277398 0.58545926],1,[0.87255935 0.31923169 0.55368376]
[0.87301011 0.31938021 0.55196249],1,[0.72463101 0.28810003 0.44366952]
[0.6207424  0.29773082 0.51172526],0,[0.47402995 0.32289092 0.66978224]
[0.43162793 0.30455468 0.61378042],1,[0.25029137 0.23059116 0.52652421]
[0.05664528 0.12079892 0.75209997],1,[0.056698   0.12420273 0.76624942]
[0.05664528 0.12079892 0.75209997],0,[-0.0583781   0.07307703  1.86210932]
[-0.16057669  0.0267191   2.59638103],0,[-0.15784223  0.02481694  2.60867492]
[None None],1,[ 3.79179924  0.39820425 -1.54341547]
[ 3.81528734  0.34299571 -1.59927058],1,[ 3.81589924  0.33492765 -1.59876567]
[ 3.82112014  0.15138412 -1.64800991],0,[ 3.82388019  0.14018919 -1.64845655]
[ 3.82112014  0.15138412 -1.64800991],1,[ 3.82665371  0.12959608 -1.64772159]
