[None None],-1,[1.20076805 0.00985733 0.0104325 ]
[0.80043583 0.13549907 0.53593642],2,[0.94552003 0.13536426 0.490539  ]
[0.93558293 0.13816021 0.50675291],2,[0.66996456 0.3304416  1.00289037]
[0.67217519 0.33501768 1.00122559],2,[1.81102902 0.4558034  0.80998717]
[1.57980396 0.5459571  0.76956   ],1,[1.58586079 0.54266524 0.77331994]
[1.57918759 0.54363425 0.77079773],1,[1.30733804 0.57111174 0.65030766]
[1.30061728 0.57334775 0.64610446],1,[1.10814649 0.5667816  0.56275067]
[1.03521374 0.55762586 0.5292604 ],1,[0.88994507 0.49252629 0.34397229]
[1.03521374 0.55762586 0.5292604 ],1,[0.73229114 0.41302979 0.21639811]
[0.73334724 0.41854626 0.22644349],1,[ 0.49015998  0.24896711 -0.00697962]
[ 0.49174422  0.24468721 -0.02002462],1,[ 0.34205207  0.09396983 -0.37320302]
