[None None],-1,[1.14466107 0.01777584 0.00364166]
[1.05565821 0.01291658 0.00746039],0,[0.8850423  0.01754045 0.00906479]
[1.05565821 0.01291658 0.00746039],2,[0.61670162 0.10017364 0.31577244]
[0.61640588 0.09854212 0.31956649],2,[0.41185413 0.19740549 0.73707073]
[0.41188132 0.19636268 0.73668519],2,[1.4658197  0.3611475  0.69955744]
[1.46377959 0.363958   0.69687184],1,[1.21689989 0.38531812 0.59035374]
[1.21638626 0.38594114 0.59222344],1,[0.92668392 0.39249186 0.47035003]
[0.92723862 0.3923329  0.47332627],1,[0.69925171 0.33834576 0.34042047]
[0.69186683 0.33808575 0.3438709 ],1,[0.52858046 0.27051955 0.25388969]
[0.41274955 0.20707718 0.14048083],1,[0.41120049 0.20711049 0.14510022]
[0.35482622 0.16201193 0.03980475],1,[0.35592048 0.16408581 0.04414254]
