[None None],-1,[1.19207587 0.00609057 0.03532195]
[None None],-1,[0.94397682 0.02763787 0.06760194]
[0.94458052 0.02752807 0.07095688],0,[0.73964991 0.07825271 0.25949635]
[0.74965555 0.07533016 0.2612464 ],2,[0.61425557 0.14272594 0.49645773]
[0.62219053 0.14569387 0.49826095],2,[1.67961417 0.30922306 0.62678166]
[1.67448769 0.31485338 0.62583055],2,[1.3395443  0.3484299  0.47986894]
[1.31374973 0.33433742 0.43759423],1,[1.13259355 0.31203948 0.31526334]
[1.13264206 0.31244721 0.3140812 ],1,[0.84224816 0.23896891 0.10864966]
[0.72221879 0.20704003 0.07459147],0,[0.61702081 0.17520152 0.05918974]
[0.61812926 0.1752947  0.05812678],0,[0.40534412 0.14217311 0.12148163]
