[None None],-1,[1.20274009 0.00529393 0.03029551]
[1.19799351 0.00267242 0.0322653 ],0,[1.00824887 0.01675027 0.05654031]
[0.93182488 0.04777739 0.16749473],2,[0.83742174 0.09548132 0.33077168]
[0.93182488 0.04777739 0.16749473],2,[0.60683595 0.21294067 0.70657769]
[0.60674935 0.21181319 0.70963708],0,[1.68023359 0.3205128  0.55818602]
[1.67835925 0.32345407 0.55762852],1,[1.33800532 0.33671637 0.4020909 ]
[1.33937065 0.33933533 0.40660017],1,[1.08639659 0.2918759  0.24389731]
[1.09062223 0.2919632  0.24222986],1,[0.81043069 0.20171505 0.00672685]
[0.80991835 0.20305522 0.01026096],0,[0.55985922 0.14491228 0.00803954]
[ 0.29712172  0.0747729  -0.00475447],0,[ 0.29994309  0.07402166 -0.01017013]
