[None None],-1,[ 1.24954625 -0.01589791 -0.01218894]
[None None],0,[ 1.04283785 -0.00840452  0.00131978]
[ 0.97623303 -0.03161945 -0.09037623],1,[ 0.74966952 -0.11174817 -0.37700958]
[ 0.650597   -0.16109165 -0.52814334],1,[ 0.67746035 -0.15270774 -0.50619184]
[ 0.55243578 -0.22825638 -0.77175444],1,[ 0.55830801 -0.22388449 -0.7636829 ]
[ 0.55243578 -0.22825638 -0.77175444],1,[ 1.65133979 -0.42332352 -0.82312273]
[ 1.64893984 -0.42374276 -0.82893095],2,[ 1.38806115 -0.50164621 -0.78895499]
[ 1.38920667 -0.50533443 -0.7805577 ],2,[ 1.12435364 -0.54368839 -0.73220979]
[ 0.72662778 -0.57141062 -0.74366753],2,[ 0.70144339 -0.54599046 -0.71479795]
[ 0.70762963 -0.54372859 -0.71463846],2,[ 0.4698524  -0.49139606 -0.7133827 ]
[ 0.26449236 -0.41156571 -0.78141284],2,[ 0.26463522 -0.41462497 -0.78111786]
