[None None],-1,[1.20001564 0.01611216 0.02779297]
[None None],-1,[0.92336586 0.10190405 0.29576812]
[0.91664955 0.10275674 0.29915227],2,[0.64329333 0.23588834 0.71701414]
[0.64001022 0.23645161 0.71910128],2,[0.45255036 0.31939577 0.97370142]
[1.68050183 0.3453782  0.50118635],1,[1.48279513 0.35373978 0.41262947]
[1.48138063 0.35372125 0.41252943],0,[1.27258593 0.37405508 0.46051815]
[1.22143991 0.36428137 0.40575171],1,[1.01083084 0.31714997 0.23491949]
[1.00729383 0.3166083  0.23645949],1,[0.72859832 0.2127841  0.00584639]
[0.73173644 0.21024563 0.0046818 ],0,[ 6.19108487e-01  1.77946320e-01 -2.74508248e-04]
[ 0.61797423  0.17311689 -0.0095116 ],0,[ 0.37728395  0.10966981 -0.00411099]
