[None None],-1,[1.19449747 0.023445   0.01493704]
[0.98994424 0.03057479 0.02197546],0,[0.93415305 0.01969814 0.01759491]
[ 0.73256536 -0.04473878 -0.27026762],1,[ 0.72017395 -0.06762138 -0.31075567]
[ 0.57178904 -0.15788547 -0.69035806],1,[ 0.56984358 -0.18267583 -0.71583473]
[ 0.57178904 -0.15788547 -0.69035806],0,[ 0.41253745 -0.25004485 -0.95026221]
[ 1.64185235 -0.27043693 -0.51871884],2,[ 1.50397413 -0.28518993 -0.43581964]
[ 1.64185235 -0.27043693 -0.51871884],0,[ 1.2833195  -0.30953907 -0.48177372]
[ 1.28321206 -0.30913201 -0.47769558],2,[ 1.06312103 -0.30462303 -0.38536946]
[ 0.6984728  -0.24884659 -0.22849866],2,[ 0.69440014 -0.22883411 -0.19617009]
[ 0.65977451 -0.20843489 -0.15371394],2,[ 0.37855819 -0.0930721   0.06990362]
