[None None],-1,[1.18149629 0.01824544 0.02649807]
[0.90487634 0.02363582 0.04936595],0,[0.89844969 0.02676115 0.0522934 ]
[0.90309251 0.02547685 0.04879446],0,[ 0.64564087 -0.05691281 -0.25495037]
[ 0.64875538 -0.05890262 -0.26191437],1,[ 0.38158735 -0.21342905 -0.89382789]
[ 1.55585104 -0.27799599 -0.57195614],0,[ 1.53896652 -0.28762504 -0.57074621]
[ 1.55585104 -0.27799599 -0.57195614],0,[ 1.53796879 -0.28811238 -0.57757709]
[ 1.36103222 -0.31199853 -0.49342874],2,[ 1.30312967 -0.29975807 -0.48765395]
[ 1.14483943 -0.28769546 -0.39593647],2,[ 1.14377956 -0.28799457 -0.39207158]
[ 1.0874569  -0.27789661 -0.35042229],2,[ 0.82064793 -0.23562752 -0.21314603]
[ 0.82208397 -0.23536121 -0.21433052],2,[ 0.71419426 -0.19681474 -0.13126907]
[ 0.43651875 -0.08735747  0.09674089],2,[ 0.43689863 -0.08500963  0.10450785]
[ 0.43651875 -0.08735747  0.09674089],0,[ 0.26469471 -0.0185376   0.22900978]
