[None None],-1,[1.19549736 0.01537854 0.03145372]
[1.19019135 0.01591049 0.03270516],0,[0.93540101 0.02735942 0.0463805 ]
[0.9329603  0.02944608 0.04845727],1,[ 0.68736343 -0.05045018 -0.23909634]
[ 0.5382617  -0.12614586 -0.53980295],1,[ 0.37851779 -0.23428163 -0.95753277]
[ 0.5382617  -0.12614586 -0.53980295],0,[ 1.46395154 -0.32903183 -0.63690863]
[ 1.46354059 -0.33095184 -0.640217  ],2,[ 1.19082299 -0.36021327 -0.55341553]
[ 1.19049807 -0.36201804 -0.55449885],2,[ 0.91088695 -0.35840791 -0.45878074]
[ 0.91019988 -0.35807181 -0.45709038],2,[ 0.61007286 -0.3052726  -0.38970742]
[ 0.60654258 -0.30631649 -0.3912281 ],2,[ 0.32862268 -0.20519109 -0.31721543]
